Map,RRT* Time,I-RRT* Time,RRT* Cost,I-RRT* Cost
1,22.740436553955078,44.88425898551941,310.6767225893895,285.042411970678
2,23.009689569473267,52.940855979919434,338.84632928589565,283.18094974420546
3,16.057679414749146,31.359159469604492,326.7231818073883,286.63318240000075
4,30.250264644622803,54.02229976654053,408.12186358409,286.3648652776045
5,15.600090503692627,47.68979287147522,314.9547000497178,287.6589012475972
6,13.428294658660889,57.28576588630676,305.4904157174055,285.39330396826415
7,123.58142757415771,53.91635823249817,292.15690908396533,285.0359764601136
8,88.98591375350952,114.9019103050232,308.6642285183672,287.81614154365957
9,16.191519737243652,47.847816705703735,317.4590564865566,284.16129391156073
10,25.31716251373291,31.14730429649353,334.1089029695534,284.3847875691146
11,21.06256341934204,33.34518361091614,325.76196336913466,297.8240720290453
12,17.209290981292725,29.485909938812256,304.656123846837,284.0640789793702
13,15.038283586502075,27.082361459732056,315.56600943607947,290.4739191395484
14,15.418615579605103,33.140300273895264,298.4282934760082,286.6677066912757
15,15.585365533828735,30.348135948181152,323.0871247319548,286.6215859405005
16,16.22810435295105,38.86585354804993,293.45018035026527,284.15329260681176
17,40.76783037185669,87.39540910720825,290.7053594262679,282.84271247461925
18,15.819945812225342,57.46034646034241,301.58161075306805,284.90109972767794
19,18.828327655792236,35.83184337615967,354.26763911983926,287.3939199605633
20,17.474855422973633,44.53804039955139,335.7859336479082,295.51623110538304
21,22.54288625717163,42.647950172424316,365.68276469821586,289.2474865132921
22,23.346405029296875,56.334869146347046,302.83391983713534,282.8734417322372
23,21.972644329071045,50.2917320728302,299.86859824937915,283.3648804551189
24,30.165114402770996,39.504982471466064,298.01437471726587,284.8035127740278
25,15.468342304229736,33.51360821723938,311.7567459167875,293.37206800887503
26,78.3068208694458,45.703028202056885,295.75186805029,287.16706686899397
27,20.592602729797363,85.9978334903717,312.61270842006866,287.27040677681003
28,20.22960376739502,54.21856665611267,296.2792040893322,283.98575425057044
29,15.40216875076294,40.664610862731934,307.5957320139863,284.5047598943257
30,41.93523597717285,61.807862758636475,311.57772425661045,285.99465350920906
31,19.243098735809326,47.22631335258484,363.5657599249532,289.42195588518666
32,16.68923044204712,68.54887008666992,302.3394465734143,283.0050040082422
33,17.78170680999756,42.82786178588867,305.9712166210747,288.98791433940227
34,16.954156160354614,35.324288845062256,308.41548677283635,290.7030513149679
35,20.992676973342896,24.000033140182495,328.72867638758487,343.20122759582824
36,17.13015842437744,53.77568292617798,311.2473980687431,286.9054706319737
37,17.27604103088379,51.09391260147095,340.560940234347,303.95361159604204
38,15.628008127212524,56.25001502037048,307.41478602315624,283.19769263349986
39,14.741937398910522,79.15245461463928,311.07649233680166,283.1513320841896
40,19.138077974319458,40.65706205368042,292.60307785117664,282.842712474619
41,61.437028884887695,29.32859182357788,332.59203306909234,286.69549874728824
42,16.981263399124146,130.59082794189453,310.8620130784577,282.842712474619
43,51.56766057014465,45.56749701499939,309.89150743964603,288.37786637892316
44,17.42095160484314,40.14965772628784,340.57715475000185,292.64012620428673
45,57.86252427101135,48.29070520401001,367.9708195948365,288.73511086106697
46,14.693514585494995,56.23290181159973,293.4858744413713,282.9056327034474
47,14.756981372833252,60.116955280303955,320.7631602091453,285.86759910294586
48,15.685201644897461,43.68246245384216,311.692957198694,284.013697696224
49,16.339328050613403,23.73661160469055,325.3388892034593,286.90179030344495
50,14.907899141311646,86.47167158126831,313.523517490241,284.83199596152747
